wlog_id,wlog_mid,wlog_notes,wlog_contact,wlog_contact_content,wlog_date,wlog_type,wlog_addedby
12,40,"a:15:{s:7:""content"";s:57:""We don&#39;t ban users on a whim. Not even for the lulz. "";s:3:""mod"";s:1:""0"";s:8:""mod_unit"";s:1:""h"";s:9:""mod_indef"";N;s:4:""post"";s:1:""0"";s:9:""post_unit"";s:1:""h"";s:10:""post_indef"";N;s:4:""susp"";s:1:""0"";s:9:""susp_unit"";s:1:""h"";s:3:""ban"";i:0;s:15:""topicPosts_type"";s:9:""unapprove"";s:17:""topicPosts_topics"";i:0;s:18:""topicPosts_replies"";i:0;s:16:""topicPosts_lastx"";i:0;s:21:""topicPosts_lastxunits"";s:1:""d"";}",none,,1325457520,pos,7
13,40,"a:15:{s:7:""content"";s:14:""God wills it. "";s:3:""mod"";s:1:""0"";s:8:""mod_unit"";s:1:""h"";s:9:""mod_indef"";N;s:4:""post"";s:1:""0"";s:9:""post_unit"";s:1:""h"";s:10:""post_indef"";N;s:4:""susp"";s:1:""0"";s:9:""susp_unit"";s:1:""h"";s:3:""ban"";i:0;s:15:""topicPosts_type"";s:9:""unapprove"";s:17:""topicPosts_topics"";i:0;s:18:""topicPosts_replies"";i:0;s:16:""topicPosts_lastx"";i:0;s:21:""topicPosts_lastxunits"";s:1:""d"";}",none,,1327535124,pos,7
15,49,"a:15:{s:7:""content"";s:9:""Cooldown."";s:3:""mod"";s:1:""0"";s:8:""mod_unit"";s:1:""h"";s:9:""mod_indef"";N;s:4:""post"";s:1:""0"";s:9:""post_unit"";s:1:""h"";s:10:""post_indef"";N;s:4:""susp"";s:1:""0"";s:9:""susp_unit"";s:1:""h"";s:3:""ban"";i:0;s:15:""topicPosts_type"";s:9:""unapprove"";s:17:""topicPosts_topics"";i:0;s:18:""topicPosts_replies"";i:0;s:16:""topicPosts_lastx"";i:0;s:21:""topicPosts_lastxunits"";s:1:""d"";}",none,,1327784806,custom,4
16,89,"a:15:{s:7:""content"";s:65:""Using forum name without permission. Insubordination. Giving lip."";s:3:""mod"";s:1:""0"";s:8:""mod_unit"";s:1:""h"";s:9:""mod_indef"";N;s:4:""post"";s:1:""0"";s:9:""post_unit"";s:1:""h"";s:10:""post_indef"";N;s:4:""susp"";s:1:""0"";s:9:""susp_unit"";s:1:""h"";s:3:""ban"";i:0;s:15:""topicPosts_type"";s:9:""unapprove"";s:17:""topicPosts_topics"";i:0;s:18:""topicPosts_replies"";i:0;s:16:""topicPosts_lastx"";i:0;s:21:""topicPosts_lastxunits"";s:1:""d"";}",none,,1327826782,custom,1
19,84,"a:15:{s:7:""content"";s:32:""Irrelevant and annoying insults."";s:3:""mod"";s:1:""0"";s:8:""mod_unit"";s:1:""h"";s:9:""mod_indef"";N;s:4:""post"";s:1:""0"";s:9:""post_unit"";s:1:""h"";s:10:""post_indef"";N;s:4:""susp"";s:1:""0"";s:9:""susp_unit"";s:1:""h"";s:3:""ban"";i:0;s:15:""topicPosts_type"";s:9:""unapprove"";s:17:""topicPosts_topics"";i:0;s:18:""topicPosts_replies"";i:0;s:16:""topicPosts_lastx"";i:0;s:21:""topicPosts_lastxunits"";s:1:""d"";}",pm,<subject>Warning</subject><content>For stupid and irrelevant insults you have been given a warning.</content>,1339978662,neg,49
18,209,"a:15:{s:7:""content"";s:21:""Apparent scam artist."";s:3:""mod"";s:1:""0"";s:8:""mod_unit"";s:1:""h"";s:9:""mod_indef"";N;s:4:""post"";s:1:""0"";s:9:""post_unit"";s:1:""h"";s:10:""post_indef"";N;s:4:""susp"";s:1:""0"";s:9:""susp_unit"";s:1:""h"";s:3:""ban"";i:1;s:15:""topicPosts_type"";s:9:""unapprove"";s:17:""topicPosts_topics"";i:0;s:18:""topicPosts_replies"";i:0;s:16:""topicPosts_lastx"";i:0;s:21:""topicPosts_lastxunits"";s:1:""d"";}",none,,1335092130,nochan,4
20,19,<content>Banned at user&#39;s request.</content><mod></mod><post></post><susp></susp>,none,,1341489737,note,1
21,84,"a:15:{s:7:""content"";s:34:""Inciting general autistic behavior"";s:3:""mod"";s:1:""0"";s:8:""mod_unit"";s:1:""h"";s:9:""mod_indef"";N;s:4:""post"";s:1:""6"";s:9:""post_unit"";s:1:""h"";s:10:""post_indef"";N;s:4:""susp"";s:1:""0"";s:9:""susp_unit"";s:1:""h"";s:3:""ban"";i:0;s:15:""topicPosts_type"";s:9:""unapprove"";s:17:""topicPosts_topics"";i:0;s:18:""topicPosts_replies"";i:0;s:16:""topicPosts_lastx"";i:0;s:21:""topicPosts_lastxunits"";s:1:""d"";}",none,,1341619414,neg,49
22,84,"a:15:{s:7:""content"";s:30:""Warning from June has expired."";s:3:""mod"";s:1:""0"";s:8:""mod_unit"";s:1:""h"";s:9:""mod_indef"";N;s:4:""post"";s:1:""0"";s:9:""post_unit"";s:1:""h"";s:10:""post_indef"";N;s:4:""susp"";s:1:""0"";s:9:""susp_unit"";s:1:""h"";s:3:""ban"";i:0;s:15:""topicPosts_type"";s:9:""unapprove"";s:17:""topicPosts_topics"";i:0;s:18:""topicPosts_replies"";i:0;s:16:""topicPosts_lastx"";i:0;s:21:""topicPosts_lastxunits"";s:1:""d"";}",none,,1341696133,pos,3
23,263,"a:15:{s:7:""content"";s:162:""For violating the Iron March charter and performing general acts of faggotry, temporary house arrest and ban from posting until the adminship decide on what to do"";s:3:""mod"";s:1:""0"";s:8:""mod_unit"";s:1:""h"";s:9:""mod_indef"";N;s:4:""post"";s:1:""3"";s:9:""post_unit"";s:1:""d"";s:10:""post_indef"";s:1:""1"";s:4:""susp"";s:1:""0"";s:9:""susp_unit"";s:1:""h"";s:3:""ban"";i:0;s:15:""topicPosts_type"";s:9:""unapprove"";s:17:""topicPosts_topics"";i:0;s:18:""topicPosts_replies"";i:0;s:16:""topicPosts_lastx"";i:0;s:21:""topicPosts_lastxunits"";s:1:""d"";}",pm,"<subject>Notice</subject><content>For violating the Iron March charter and performing general acts of faggotry, you're placed on temporary house arrest and banned from posting until the adminship decide on what to do with you. Enjoy your stay in our tolerant and diverse community. cheers</content>",1341803412,neg,49
24,84,"a:15:{s:7:""content"";s:28:""July 6th warning has expired"";s:3:""mod"";s:1:""0"";s:8:""mod_unit"";s:1:""h"";s:9:""mod_indef"";N;s:4:""post"";s:1:""0"";s:9:""post_unit"";s:1:""h"";s:10:""post_indef"";N;s:4:""susp"";s:1:""0"";s:9:""susp_unit"";s:1:""h"";s:3:""ban"";i:0;s:15:""topicPosts_type"";s:9:""unapprove"";s:17:""topicPosts_topics"";i:0;s:18:""topicPosts_replies"";i:0;s:16:""topicPosts_lastx"";i:0;s:21:""topicPosts_lastxunits"";s:1:""d"";}",none,,1342311168,pos,3
25,271,"a:15:{s:7:""content"";s:380:""He fucking posted this:<br />[quote name=&#39;NatCap&#39; timestamp=&#39;1342659114&#39; post=&#39;29687&#39;]Silence, boy. I know your game. You feel entitled to the younger females due to your age. No way, Jose.<br /><br />[/quote]<br /><br />More details can be found in the relevant Corps Compound thread. I hope he is banned, but I absolutely have to do something about this."";s:3:""mod"";s:1:""0"";s:8:""mod_unit"";s:1:""h"";s:9:""mod_indef"";N;s:4:""post"";s:1:""0"";s:9:""post_unit"";s:1:""h"";s:10:""post_indef"";N;s:4:""susp"";s:1:""0"";s:9:""susp_unit"";s:1:""h"";s:3:""ban"";i:0;s:15:""topicPosts_type"";s:9:""unapprove"";s:17:""topicPosts_topics"";i:0;s:18:""topicPosts_replies"";i:0;s:16:""topicPosts_lastx"";i:0;s:21:""topicPosts_lastxunits"";s:1:""d"";}",none,,1342659463,neg,14
26,271,"a:15:{s:7:""content"";s:60:""for being a faggot. Read his comments to black corps members"";s:3:""mod"";s:1:""0"";s:8:""mod_unit"";s:1:""h"";s:9:""mod_indef"";N;s:4:""post"";s:1:""3"";s:9:""post_unit"";s:1:""d"";s:10:""post_indef"";s:1:""1"";s:4:""susp"";s:1:""0"";s:9:""susp_unit"";s:1:""h"";s:3:""ban"";i:0;s:15:""topicPosts_type"";s:9:""unapprove"";s:17:""topicPosts_topics"";i:0;s:18:""topicPosts_replies"";i:0;s:16:""topicPosts_lastx"";i:0;s:21:""topicPosts_lastxunits"";s:1:""d"";}",none,,1342746043,custom,49
27,271,"a:15:{s:7:""content"";s:56:""Told a Moderator to go fuck himself. Insolence, flaming."";s:3:""mod"";s:1:""0"";s:8:""mod_unit"";s:1:""h"";s:9:""mod_indef"";N;s:4:""post"";s:1:""0"";s:9:""post_unit"";s:1:""h"";s:10:""post_indef"";s:1:""1"";s:4:""susp"";s:1:""0"";s:9:""susp_unit"";s:1:""h"";s:3:""ban"";i:0;s:15:""topicPosts_type"";s:9:""unapprove"";s:17:""topicPosts_topics"";i:0;s:18:""topicPosts_replies"";i:0;s:16:""topicPosts_lastx"";i:0;s:21:""topicPosts_lastxunits"";s:1:""d"";}",none,,1342746047,nochan,14
28,33,"a:15:{s:7:""content"";s:36:""Way beyond expiration for a warning."";s:3:""mod"";s:1:""0"";s:8:""mod_unit"";s:1:""h"";s:9:""mod_indef"";N;s:4:""post"";s:1:""0"";s:9:""post_unit"";s:1:""h"";s:10:""post_indef"";N;s:4:""susp"";s:1:""0"";s:9:""susp_unit"";s:1:""h"";s:3:""ban"";i:0;s:15:""topicPosts_type"";s:9:""unapprove"";s:17:""topicPosts_topics"";i:0;s:18:""topicPosts_replies"";i:0;s:16:""topicPosts_lastx"";i:0;s:21:""topicPosts_lastxunits"";s:1:""d"";}",none,,1343835937,pos,3
29,335,"a:15:{s:7:""content"";s:34:""misconduct in introductions thread"";s:3:""mod"";s:1:""0"";s:8:""mod_unit"";s:1:""h"";s:9:""mod_indef"";N;s:4:""post"";s:1:""0"";s:9:""post_unit"";s:1:""h"";s:10:""post_indef"";N;s:4:""susp"";s:1:""0"";s:9:""susp_unit"";s:1:""h"";s:3:""ban"";i:0;s:15:""topicPosts_type"";s:9:""unapprove"";s:17:""topicPosts_topics"";i:0;s:18:""topicPosts_replies"";i:0;s:16:""topicPosts_lastx"";i:0;s:21:""topicPosts_lastxunits"";s:1:""d"";}",none,,1344033763,neg,49
30,329,"a:15:{s:7:""content"";s:33:""Not to be unbanned until I unban."";s:3:""mod"";s:1:""0"";s:8:""mod_unit"";s:1:""h"";s:9:""mod_indef"";N;s:4:""post"";s:1:""0"";s:9:""post_unit"";s:1:""h"";s:10:""post_indef"";N;s:4:""susp"";s:1:""0"";s:9:""susp_unit"";s:1:""h"";s:3:""ban"";i:0;s:15:""topicPosts_type"";s:9:""unapprove"";s:17:""topicPosts_topics"";i:0;s:18:""topicPosts_replies"";i:0;s:16:""topicPosts_lastx"";i:0;s:21:""topicPosts_lastxunits"";s:1:""d"";}",none,,1344408594,custom,1
38,563,"a:15:{s:7:""content"";s:29:""for continuing to be a faggot"";s:3:""mod"";s:1:""0"";s:8:""mod_unit"";s:1:""h"";s:9:""mod_indef"";N;s:4:""post"";s:1:""0"";s:9:""post_unit"";s:1:""h"";s:10:""post_indef"";N;s:4:""susp"";s:1:""0"";s:9:""susp_unit"";s:1:""h"";s:3:""ban"";i:1;s:15:""topicPosts_type"";s:9:""unapprove"";s:17:""topicPosts_topics"";i:0;s:18:""topicPosts_replies"";i:0;s:16:""topicPosts_lastx"";i:0;s:21:""topicPosts_lastxunits"";s:1:""d"";}",none,,1350068453,nochan,49
32,335,"a:15:{s:7:""content"";s:32:""Far more than a week has passed."";s:3:""mod"";s:1:""0"";s:8:""mod_unit"";s:1:""h"";s:9:""mod_indef"";N;s:4:""post"";s:1:""0"";s:9:""post_unit"";s:1:""h"";s:10:""post_indef"";N;s:4:""susp"";s:1:""0"";s:9:""susp_unit"";s:1:""h"";s:3:""ban"";i:0;s:15:""topicPosts_type"";s:9:""unapprove"";s:17:""topicPosts_topics"";i:0;s:18:""topicPosts_replies"";i:0;s:16:""topicPosts_lastx"";i:0;s:21:""topicPosts_lastxunits"";s:1:""d"";}",none,,1345857167,pos,4
33,446,"a:15:{s:7:""content"";s:18:""for being a faggot"";s:3:""mod"";s:1:""0"";s:8:""mod_unit"";s:1:""h"";s:9:""mod_indef"";N;s:4:""post"";s:1:""0"";s:9:""post_unit"";s:1:""h"";s:10:""post_indef"";N;s:4:""susp"";s:0:"""";s:9:""susp_unit"";s:1:""h"";s:3:""ban"";i:1;s:15:""topicPosts_type"";s:9:""unapprove"";s:17:""topicPosts_topics"";i:0;s:18:""topicPosts_replies"";i:0;s:16:""topicPosts_lastx"";i:0;s:21:""topicPosts_lastxunits"";s:1:""d"";}",none,,1346542209,neg,49
35,563,"a:15:{s:7:""content"";s:49:""&lt;p&gt;for being a faggot&lt;/p&gt;<br /><br />"";s:3:""mod"";s:1:""0"";s:8:""mod_unit"";s:1:""h"";s:9:""mod_indef"";N;s:4:""post"";s:2:""10"";s:9:""post_unit"";s:1:""d"";s:10:""post_indef"";N;s:4:""susp"";s:1:""0"";s:9:""susp_unit"";s:1:""h"";s:3:""ban"";i:0;s:15:""topicPosts_type"";s:9:""unapprove"";s:17:""topicPosts_topics"";i:0;s:18:""topicPosts_replies"";i:0;s:16:""topicPosts_lastx"";i:0;s:21:""topicPosts_lastxunits"";s:1:""d"";}",none,,1348257497,neg,49
36,329,"a:15:{s:7:""content"";s:47:""shitposting, fashion fascism and condescension "";s:3:""mod"";s:1:""0"";s:8:""mod_unit"";s:1:""h"";s:9:""mod_indef"";N;s:4:""post"";s:1:""1"";s:9:""post_unit"";s:1:""d"";s:10:""post_indef"";N;s:4:""susp"";s:1:""0"";s:9:""susp_unit"";s:1:""h"";s:3:""ban"";i:0;s:15:""topicPosts_type"";s:9:""unapprove"";s:17:""topicPosts_topics"";i:0;s:18:""topicPosts_replies"";i:0;s:16:""topicPosts_lastx"";i:0;s:21:""topicPosts_lastxunits"";s:1:""d"";}",none,,1349279847,neg,49
37,329,"a:15:{s:7:""content"";s:39:""disagreeing =/= shitposting, you nigger"";s:3:""mod"";s:1:""0"";s:8:""mod_unit"";s:1:""h"";s:9:""mod_indef"";N;s:4:""post"";s:1:""0"";s:9:""post_unit"";s:1:""d"";s:10:""post_indef"";N;s:4:""susp"";s:1:""0"";s:9:""susp_unit"";s:1:""h"";s:3:""ban"";i:0;s:15:""topicPosts_type"";s:9:""unapprove"";s:17:""topicPosts_topics"";i:0;s:18:""topicPosts_replies"";i:0;s:16:""topicPosts_lastx"";i:0;s:21:""topicPosts_lastxunits"";s:1:""d"";}",none,,1349281386,nochan,132
39,329,"a:15:{s:7:""content"";s:18:""Because of course."";s:3:""mod"";s:1:""0"";s:8:""mod_unit"";s:1:""h"";s:9:""mod_indef"";N;s:4:""post"";s:1:""0"";s:9:""post_unit"";s:1:""h"";s:10:""post_indef"";N;s:4:""susp"";s:1:""0"";s:9:""susp_unit"";s:1:""h"";s:3:""ban"";i:0;s:15:""topicPosts_type"";s:9:""unapprove"";s:17:""topicPosts_topics"";i:0;s:18:""topicPosts_replies"";i:0;s:16:""topicPosts_lastx"";i:0;s:21:""topicPosts_lastxunits"";s:1:""d"";}",none,,1352508552,pos,4
40,335,"a:15:{s:7:""content"";s:6:""my bad"";s:3:""mod"";s:1:""0"";s:8:""mod_unit"";s:1:""h"";s:9:""mod_indef"";N;s:4:""post"";s:1:""0"";s:9:""post_unit"";s:1:""h"";s:10:""post_indef"";N;s:4:""susp"";s:1:""0"";s:9:""susp_unit"";s:1:""h"";s:3:""ban"";i:0;s:15:""topicPosts_type"";s:9:""unapprove"";s:17:""topicPosts_topics"";i:0;s:18:""topicPosts_replies"";i:0;s:16:""topicPosts_lastx"";i:0;s:21:""topicPosts_lastxunits"";s:1:""d"";}",none,,1353626087,nochan,7
41,2054,"a:15:{s:7:""content"";s:4:""spam"";s:3:""mod"";s:1:""0"";s:8:""mod_unit"";s:1:""h"";s:9:""mod_indef"";N;s:4:""post"";s:1:""0"";s:9:""post_unit"";s:1:""h"";s:10:""post_indef"";N;s:4:""susp"";s:1:""0"";s:9:""susp_unit"";s:1:""h"";s:3:""ban"";i:1;s:15:""topicPosts_type"";s:9:""unapprove"";s:17:""topicPosts_topics"";i:0;s:18:""topicPosts_replies"";i:0;s:16:""topicPosts_lastx"";i:0;s:21:""topicPosts_lastxunits"";s:1:""d"";}",none,,1354048530,nochan,132
42,2113,"a:15:{s:7:""content"";s:7:""because"";s:3:""mod"";s:1:""0"";s:8:""mod_unit"";s:1:""h"";s:9:""mod_indef"";N;s:4:""post"";s:1:""0"";s:9:""post_unit"";s:1:""h"";s:10:""post_indef"";N;s:4:""susp"";s:1:""0"";s:9:""susp_unit"";s:1:""h"";s:3:""ban"";i:0;s:15:""topicPosts_type"";s:7:""approve"";s:17:""topicPosts_topics"";i:0;s:18:""topicPosts_replies"";i:0;s:16:""topicPosts_lastx"";i:0;s:21:""topicPosts_lastxunits"";s:1:""d"";}",none,,1354400852,nochan,132
43,2113,"a:15:{s:7:""content"";s:7:""because"";s:3:""mod"";s:1:""0"";s:8:""mod_unit"";s:1:""h"";s:9:""mod_indef"";N;s:4:""post"";s:1:""0"";s:9:""post_unit"";s:1:""h"";s:10:""post_indef"";N;s:4:""susp"";s:1:""0"";s:9:""susp_unit"";s:1:""h"";s:3:""ban"";i:0;s:15:""topicPosts_type"";s:7:""approve"";s:17:""topicPosts_topics"";i:0;s:18:""topicPosts_replies"";i:0;s:16:""topicPosts_lastx"";i:0;s:21:""topicPosts_lastxunits"";s:1:""d"";}",none,,1354401072,nochan,132
44,188,"a:15:{s:7:""content"";s:43:""Week in the concentration camp to cool off."";s:3:""mod"";s:1:""0"";s:8:""mod_unit"";s:1:""h"";s:9:""mod_indef"";N;s:4:""post"";s:1:""0"";s:9:""post_unit"";s:1:""h"";s:10:""post_indef"";N;s:4:""susp"";s:1:""0"";s:9:""susp_unit"";s:1:""h"";s:3:""ban"";i:0;s:15:""topicPosts_type"";s:9:""unapprove"";s:17:""topicPosts_topics"";i:0;s:18:""topicPosts_replies"";i:0;s:16:""topicPosts_lastx"";i:0;s:21:""topicPosts_lastxunits"";s:1:""d"";}",none,,1354681556,custom,1
78,6111,"a:15:{s:7:""content"";s:6:""Reason"";s:3:""mod"";s:1:""0"";s:8:""mod_unit"";s:1:""h"";s:9:""mod_indef"";N;s:4:""post"";s:1:""0"";s:9:""post_unit"";s:1:""h"";s:10:""post_indef"";N;s:4:""susp"";s:1:""0"";s:9:""susp_unit"";s:1:""h"";s:3:""ban"";i:1;s:15:""topicPosts_type"";s:9:""unapprove"";s:17:""topicPosts_topics"";i:0;s:18:""topicPosts_replies"";i:0;s:16:""topicPosts_lastx"";i:0;s:21:""topicPosts_lastxunits"";s:1:""d"";}",none,,1372814991,nochan,132
77,6150,"a:15:{s:7:""content"";s:7:""A shit."";s:3:""mod"";s:1:""0"";s:8:""mod_unit"";s:1:""h"";s:9:""mod_indef"";N;s:4:""post"";s:1:""0"";s:9:""post_unit"";s:1:""h"";s:10:""post_indef"";N;s:4:""susp"";s:1:""0"";s:9:""susp_unit"";s:1:""h"";s:3:""ban"";i:1;s:15:""topicPosts_type"";s:9:""unapprove"";s:17:""topicPosts_topics"";i:0;s:18:""topicPosts_replies"";i:0;s:16:""topicPosts_lastx"";i:0;s:21:""topicPosts_lastxunits"";s:1:""d"";}",none,,1372611501,nochan,16
48,84,"a:15:{s:7:""content"";s:26:""getting on my nerves again"";s:3:""mod"";s:1:""0"";s:8:""mod_unit"";s:1:""h"";s:9:""mod_indef"";N;s:4:""post"";s:1:""0"";s:9:""post_unit"";s:1:""h"";s:10:""post_indef"";N;s:4:""susp"";s:1:""5"";s:9:""susp_unit"";s:1:""d"";s:3:""ban"";i:0;s:15:""topicPosts_type"";s:9:""unapprove"";s:17:""topicPosts_topics"";i:0;s:18:""topicPosts_replies"";i:0;s:16:""topicPosts_lastx"";i:0;s:21:""topicPosts_lastxunits"";s:1:""d"";}",pm,"<subject>hahahahahaha</subject><content>https://www.youtube.com/watch?v=7b7DgOeMnW4&amp;list=PLA40C71E6439049FE<br />
 <br />
5 days for now, you will be released when you stop jewing alex and make truth of your word, [s]kike[/s]</content>",1356805917,custom,49
49,188,"a:15:{s:7:""content"";s:47:""it&#39;s been well more than a week. Unban him."";s:3:""mod"";s:1:""0"";s:8:""mod_unit"";s:1:""h"";s:9:""mod_indef"";N;s:4:""post"";s:1:""0"";s:9:""post_unit"";s:1:""h"";s:10:""post_indef"";N;s:4:""susp"";s:1:""0"";s:9:""susp_unit"";s:1:""h"";s:3:""ban"";i:0;s:15:""topicPosts_type"";s:9:""unapprove"";s:17:""topicPosts_topics"";i:0;s:18:""topicPosts_replies"";i:0;s:16:""topicPosts_lastx"";i:0;s:21:""topicPosts_lastxunits"";s:1:""d"";}",none,,1356892268,custom,49
