reply_id,reply_status_id,reply_member_id,reply_date,reply_content,reply_approved,reply_ip_address
25,91,54,1341737769,"<p>An unemployed man in his twenties wondering why he can’t meet a kind intelligent girl as he wipes grease onto his pants and types a blog post about how American women are fat ugly feminist whores, with Redtube open in the adjacent tab</p>",1,
26,99,130,1342117954,"<p>No,  I'm not serious.</p>",1,
27,99,130,1342117972,"<p>About the nominate thing, not the JIDF thing.</p>",1,
28,99,130,1342117988,<p>Cuz I'm definitely JIDF. That's what I've been told.</p>,1,
29,99,279,1342132778,<p>JIDF detector active.</p>,1,
30,95,130,1342149478,<p>No. Muh Empire.</p>,1,
31,95,279,1342202361,"<p>Ist Über Alles, Ja?</p>",1,
32,95,67,1342202444,<p>Muh Canadian mixed-blood nigger empire.</p>,1,
34,95,279,1342203379,"<p>Nein, nein, nein. Muh Über Reich.</p>",1,
35,95,67,1342203632,<p>LOLOLOLOL you mean Turkish Reich.</p>,1,
36,95,279,1342203689,<p>Since when am I a Turk?</p>,1,
37,95,67,1342203749,"<p>Germany = Turkish Reich. You're from the States, ja?</p>",1,
40,95,67,1342204056,<p>European Caliphate.</p>,1,
41,95,279,1342204109,<p>The day will come when the masses will revolt against the invaders.</p>,1,
39,95,279,1342203861,<p>Europa and very glad of it. I would not be able to bear the level of degeneracy you come across in the U.S.A. </p>,1,
42,95,67,1342204285,<p>I'm waiting eagerly for that moment.</p>,1,
43,95,279,1342204336,<p>I will be sure to drink a fine German wine while the onslaught progresses.</p>,1,
44,95,67,1342204452,"<p>Meh, Muslim blood by the bottle.</p>",1,
45,100,130,1342321747,<p>Lynyrd Skynyrd</p>,1,
46,95,130,1342321853,<p>Muh Eurocaliphate.</p>,1,
48,99,130,1342748539,<p>FasCap totally got his idea from me. Totally.</p>,1,
49,99,279,1342748594,<p>I truly wonder how old he is.</p>,1,
50,106,130,1343540314,<p>Amen</p>,1,
51,106,67,1343541607,"<p>I have never been this disappointed by my closest friend. God, after that they call me a pessimist.</p>",1,
52,2,67,1343580980,"<p>Implying that Canada is not the most cold. I mean, we are a frozen wasteland, with polar bears and igloos.</p>",1,
53,108,67,1343749606,"<p>United in struggle. Two people, one future. Just sayin'.</p>",1,
54,115,67,1343970810,"<p>That's quite an attitude you have, miss. You are a man for sure.</p>",1,
55,112,279,1343978139,<p>Ich liebe der Totale Krieg.</p>,1,
56,116,279,1344033806,"<p>Well, it could have been worse. Try to be less hostile or at least save your hatred and disgust for later and strike them mercilessly, yet justly when the time comes. <img src=""<fileStore.core_Emoticons>/emoticons/GeneralIMemoticons_wink.png"" alt="";)"" srcset=""<fileStore.core_Emoticons>/emoticons/wink@2x.png 2x"" width=""20"" height=""20"" /></p>",1,
57,116,335,1344034062,"<p>I hadn't actually realized I was breaking rules; I thought the person was here for the sake of trolling and nothing else, so, confronted.</p>",1,
58,118,335,1344034248,<p>I contend I was right. </p>,1,
59,116,279,1344084274,"<p>She's a friend of some other members. Not my kind of member, but eh.</p>",1,
60,108,130,1344094638,"<img src=""<fileStore.core_Emoticons>/emoticons/GeneralIMemoticons_wink.png"" alt="";)"" srcset=""<fileStore.core_Emoticons>/emoticons/wink@2x.png 2x"" width=""20"" height=""20"" />",1,
61,113,130,1344094710,<p>I reckon</p>,1,
62,109,130,1344094735,<p>Ditto</p>,1,
63,129,7,1344272508,<p>so?</p>,1,
64,129,336,1344272888,"<p>So you are a pitiable, sickening human being if the best thing in life you have to live for and fight for is genocidal racism. </p>",1,
65,131,67,1344273440,"<p>I do have loved ones and that is why I'm trying to build the best place for them to live peacefuly and happily, and that is also why I'm joining the army. ""The good soldiers fights, not because he hates what is in front of him, but because he loves what is behind him."" -G.K. Chesterton</p>",1,
66,131,336,1344273557,"<p>Then you should support respect for all nations; else, someone will justify their invasion and murder of Canadian people for their own selfish gain. You people are like Ayn Randists but for nations. </p>",1,
67,129,7,1344273840,"<p>'if' that is just your opinion. jesus said he who loses his life will find it, someone who doesn't believe in something more than his own human life is according to all science and sociology not human.</p>",1,
68,131,67,1344273947,"<p>Why do you think I'm joining the army? If another nation comes to harm my people, « I'll answer them with the mouth of my cannons » (Louis-Joseph de Montcalm). Like I said yesterday, having a good defense is the applied principle of ""YOU SHALL NOT PASS"".</p>",1,
69,130,7,1344274007,"
<p>Thanks for the tip, but I doubt you sincerely have my best interests at heart. Your parents clearly don't love you otherwise they wouldn't let you browse all these websites without supervision. </p>
<p>
You act like a foetus, you failed to raise a personal army, you are retarded even by revleft standards. </p>
",1,
70,132,130,1344274111,"<p>There's maybe 1 or 2 people on this forum that can be described as redneck hicks. And being Hispanic doesn't mean I'm not White. Hispanic does not = mestizo. My family is originally from Spain. You're just full of assumptions, aren't you? I didn't understand the class warfare bit of your comment. I haven't seen that many rednecks that could be described as ""bosses"" of anything, aside from their trailers and meth labs. Bosses live in Wall Street and Los Ange...</p>",1,
71,131,67,1344274172,"<p>An error from my part, it is Louis de Buade not de Moncalm.</p>",1,
72,132,130,1344274272,"<p>Bosses live in Wall Street and Los Angeles and Chicago, not in the Alabama backwoods. Unless you're one of those leftist retards that thinks conservative or religious = redneck. Then that wouldn't even merit a response.</p>",1,
73,133,336,1344275048,"<p>I am Jewish. I'm also Syrian, and I saw the thread ""SSNP"" hence I made an username in support of that party to give me something to pretend to support while I troll you guys. There are Arab Jews, you know. </p>",1,
74,132,336,1344275107,"<p>I see, so mestizos are inferior and deserve to be exploited and genocided, amirite?</p>",1,
75,131,336,1344275141,"<p>Nobody is going to attack Canada anytime soon. And you justified offense, not defense. IMperialism is not defense</p>",1,
76,130,336,1344275187,<p>Whatever. Go suck Nick Griffin's dick. </p>,1,
77,129,336,1344275220,"<p>Believe in something better, then</p>",1,
78,131,67,1344275635,"<p>No indeed we can sleep well in matters of foreign affairs, but my point is that to counter our evil imperialism, little nations need to be able to defend themselves. Nature is composed of preys and predators, and preys must learn to grow to defend themselves from the predators or they will succomb to God's Iron Laws. It is the same thing in the Human realm. Imperialism is a wonderful incentive for small nations to unite themselves and to stand as real men, protecting what they love. Belie...</p>",1,
79,131,336,1344279386,"<p>Those small nations will never be able to stand up to the war machines. Also, I remember you saying you preferred a white Canada. How funny, considering First Nations are the ""real"" Canadians and you are the colonizer. What about First Nations?</p>",1,
80,131,67,1344279574,"<p>I see the Aboriginals as equal citiziens in Canada, even if in the current situation, they are treated as child by the federal governement which is only promoting their disgusting behavior of illegal tobacco and firework sellers.</p>",1,
81,131,67,1344279715,"<p>I must go for an hour or two, but it will be my pleasure to answer your questions afterwards, if you have any concerning my way of thinking.</p>",1,
82,133,7,1344281988,"<p>Your IP said you were from Houston Texas fuck nugget, and you didn't even bother to change it when you re-registered. miserable fail, which makes me think you are a stormtroll trying to discredit jews. You have lied repeatedly so prove you are a jew or GTFO. </p>",1,
83,130,7,1344282052,<p>A two week foetus. </p>,1,
84,129,7,1344282210,"<p>I believe in something that is real. Everything you are talking about is emotion, and you are clearly a young child yourself - I believe in fact, and apply fact without egoism. that is the difference between us.</p>",1,
85,133,7,1344282319,"<p>Nigga please you avoided all talk of syria, and you dodged my questions on the SSNP. Flawless cover you got there agent zogberstien. </p>",1,
86,133,336,1344285188,"<p>I am from Texas. What, you think Jew = Israeli? There are Jews in America, dumbshit. And I am Syrian, but I'm not in the SSNP, obviously I thought I made that clear.</p>",1,
87,133,336,1344285209,<p>There are as many Jews in America as in Israel. You assume too much.</p>,1,
88,131,336,1344285239,<p>What do you think about the shooter recently? Were those Sikhs evil people who deserved to be gunned down in cold blood?</p>,1,
89,129,336,1344285305,<p>You don't have to be racist. You choose to be. You don't have to support genocide. You choose to.</p>,1,
90,131,67,1344285660,"<p>I don't think they deserved it. I'm not comfortable with random shootings against anyone, except if they deserve it. Yet, I understand the fact that a foreign religion implementing itself is not a good thing for the country, but I prefer deportation than violent ethnic cleansing.</p>",1,
91,131,336,1344287776,"<p>Irrelevant. So you agree he is a murderer? And that, accordingly, people like him need to be executed? Because he deserves to be hanged.</p>",1,
92,131,67,1344287951,"<p>Well yes, he is a murderer, he killed people. <img src=""<fileStore.core_Emoticons>/emoticons/GeneralIMemoticons_sleep.png"" alt=""-_-"" srcset=""<fileStore.core_Emoticons>/emoticons/sleep@2x.png 2x"" width=""20"" height=""20"" /> It is the gallows or the work camp, but I favour the work camp - we always need some good labour that can be treated as slaves because they are criminals.</p>",1,
93,128,131,1344307597,"<p>Not everyone on here is a genocidal racist, if anyone. Not everyone is a warmonger. Not everyone is a holocaust denier (FasCap). It is you and you scummy marxist crap that is ruining stuff. So when I say you are not welcome here you are not welcome here. Troll.</p>",1,
94,128,336,1344320253,"<p>Fuck off. I believe in equality. You people are archaic dipshits. You want the world in a perpetual state of division. Like I said, you are unwelcome in the civilized world. </p>",1,
99,133,336,1344333350,"<p>First of all, idiot, America is not a ""white country"". It's a nation of immigrants. It's not a nation proper like England is. Speaking of that, your kind are a disgrace to England and all that she stands for, and your own people shame you and want nothing to do with you. Huh. You're just a hateful piece of shit that has nothing better to believe in than ethnic cleansing. </p>",1,
100,129,336,1344333422,"<p>Nah, you can choose not to take your ""pride in race"" to the extreme of supporting ethnic cleansing. We are animals,to be sure, but we have a thing called logic and reason.</p>",1,
98,133,7,1344332414,"<p>HHAHAHA, I knew I smellt bullshit. hurr durr I had a syrian grandparent, i must be syrian - i bet you don't know a word of arabic or have even been to Syria. You are like so many americans with an identity problem it isn't even funny - though this neuroticism is probably why you feel so insecure - and rightly, you shouldn't be in a white country, but keep trying to justify yourself and taking your own inadiquacies out on us. You are probably not even a jew either</p>",1,
97,129,7,1344331817,"<p>Actually it is not a matter of choice, shit is not relative. If you want to rape a child that is your perogative, but I would have a social duty to stop you. I have always been disgusted by arrogant and egocentric people like yourself. Pride in family, pride in nation, pride in race - I don't think I am above all that. </p>",1,
101,133,336,1344333643,<p>But the good thing is most people are not racist and have moved past your archaic shit way of looking at the world. Face the reality: your scum are dying out in the world. </p>,1,
102,129,7,1344334630,"<p>Sorry, that is wrong. if you have principles, you you love something, then you should be morally prepared to do whatever is necissary to defend them - that or you don't believe in anything. If you do have principles you accept the responsibilites. </p>",1,
103,129,7,1344334638,<p>You probably don't  have values so you wouldn't know - 'I am an anti racist - but only when it is comfortable for me and I am on the internet' - this is why people here have been enclined to laugh at you. </p>,1,
104,133,7,1344334729,"<p>Implying america wasn't founded on ethnic cleansing. I know your type, logic just doesn't wash with you, if you were british you would be claiming we were a multicultural country as well - our leaders used the same argument for the people who came here 2000 years ago, that makes us a nation of immigants as well apparantly. </p>",1,
105,133,7,1344335105,"<p>SSNP, the first thing you will learn is most people don't care, though they are inherrantly racial. only a small part of the population is good or evil - fascist and communist. right now liberals are in power like they were in weimar germany, and you wouldn't believe the filth that came out of that place they population just accepted it. The nazis were for 10 years a fringe group with 2% of the popular vote, yet look what happened when they took power. Look how communism crumbled, jus...</p>",1,
106,133,7,1344335281,"<p>just a few coupsters against a few loyalists with most people sitting back. Who is actually an anti-fascist; a few middle class students, some people in the media and governement, the people believing what you are told. Don't kid yourself, when the baloon goes up what liberal will actually fight tomorrow? that would be an absurd fight. </p>",1,
107,128,131,1344346430,"<p>equality pfffffft. ""Semitic Supremacism"".</p>",1,
109,133,336,1344381042,"<p>America is still wholly different from England. There's no indigenous ""nation"" except the Native Americans, and you're right, they were genocided and people do feel sorry for that. You will never get people to agree and support ethnic cleansing. I 100% guarantee you of this. You're a shame and a disgrace to your own Britain. Hey, hopefully you get shot by a Muslim.</p>",1,
110,132,130,1344382131,"<p>Mestizos are inferior. The fact that the middle and upper classes in Latin America are almost exclusively White in the absence of direct racism, like is seen in the Anglo world, practically proves this. That doesn't mean they are to be genocided though. But everyone to the right of Olbermann support genocide, amirite?</p>",1,
111,128,130,1344382292,<p>&gt;represents entire civilized world</p>,1,
112,133,7,1344384481,"<div class=""ipsEmbeddedVideo "" contenteditable=""false""><div><iframe width=""480"" height=""270"" src=""https://www.youtube.com/embed/faNge-o0V-k?feature=oembed"" frameborder=""0"" allowfullscreen=""true""></iframe></div></div>",1,
113,133,336,1344395486,"<p>Whatever, I still hope a black gay Muslim man with Jewish heritage shoots you in the face. </p>",1,
114,132,336,1344406500,<p>That analysis completely ignores the lingering effects of colonialism and economic inequality. </p>,1,
115,128,336,1344406567,<p>Go out and ask people if they support segregation and racism and I guarantee you the overwhelming answer will be 'no'</p>,1,
116,133,7,1344426018,<p>Gay muslim - good luck with that! god you are a fucking embarassment; hurr durr WE R ANONYMOUS when your only reason for being here is being a butthurt little faggot. You will be the butt of jokes for weeks. </p>,1,
117,133,336,1344452420,<p>you're a threat to civilization. I am a supporter of the most brutal government suppression against your type</p>,1,
118,133,7,1344538220,"<p>Yes, well if you are trying to save a man from drowning you have to be rough with him. The elimination of a few hundred thousand of our worst criminals and traitors would result in an increase in our strength and enormously benificial to the population. </p>",1,
119,133,336,1344540031,<p>Those criminals and traitors are your type</p>,1,
120,138,2,1344540526,"<p>Everyone else is already responding/filling in - honestly the expert is Ben, he's the one who sent me those images.</p>",1,
121,138,336,1344540679,"<p>Well, okay, but I responded to them and with evolutionary evidence.</p>",1,
122,133,7,1344551990,<p>Prove I am either. </p>,1,
123,133,336,1344559583,"<p>You seek to kill people based on superficial characteristics they cannot control. That alone makes you a psychopath, and therefore a threat to the people.</p>",1,
124,139,336,1344566954,"
<p>On ""black"" and ""white"". I've been focused on Sub-Saharan Africa where I could easily point to Asians, Arabs, Jews, Indians, and others who do as well if not better than whites academically. </p>
<p>
Furthermore, ""white"" is not a precise term. Russians are not as accomplished as Italians, for example (you will recall that Russia was a backwater until the Soviet Union). There is strong overlap between Greeks and Arabs and Jews. There is overlap between Morrocans and Spa...</p>
",1,
125,139,49,1344567603,"<p>If you are serious start a thread with a real case; do what I asked, and do not break from that. You know exactly what I mean by a 'real case' what you made here is a moral argument; you are asking me 'what's the point' not proving the races are equal. There is a point and we have repeated it to you so it is a completely rhetorical question. You essentially do not even deny the existence of race and ethnicity anymore and changing the nature of the argument. That is because...</p>",1,
126,140,293,1344569797,"<p>ya u real srs brah, real srs. Like when you said our families deserve to be killed and raped by gangs of blacks.</p>",1,
127,140,336,1344570102,"<p>If you dish it out you need to take it, and many of you do dish it out.</p>",1,
128,140,240,1344602765,"<p>Right there, you just answered your own question with that post.</p>",1,
129,132,130,1344718163,"<p>That excuse completely ignores that colonialism and economic equality are a result of racial difference (superiority) not the reason for it. They're poorer and weaker because they can't compete, because they're inferior.</p>",1,
130,143,279,1344719622,"<p>Aye, aye.</p>",1,
131,143,161,1344746248,<p>I just got off one. I spent the whole week wanting to argue politics. Not as good as expected; liberals are everywhere.</p>,1,
132,143,130,1344760377,<p>As soon as I posted this I felt like delving into some of these topics. Inspiration is very fickle.</p>,1,
133,141,130,1344760584,"<p>Yes, I train child soldiers. What Uganda do about it?</p>",1,
135,141,342,1344899342,"<p>We ended the war in Uganda because we had enough ""Likes"" on Facebook, amirite?</p>",1,
136,141,130,1344915969,"<p>I know for a fact that when I like a Kony status, bottles of clean water appear in poor African children's laps. So fuck you. I'm a philanthropist. </p>",1,
137,133,7,1344955001,"
<p>So wait a psychopath is a criminal now? Not really - society still expects you to become a killer if you are drafted, or if you work for state execution, there are any number of sane legal occupations specialising in violence and liquidation. 'characteristics they cannot control' that isn't true, you always have to choice to resist enemies of your nation and not collaberate, there are no excuses. </p>
<p>
I am not a threat to 'my' people, which doesn't include immig...</p>
",1,
138,89,342,1345034023,<p>I only hope.</p>,1,
237,693,35,1356935063,Aquilism <br /><br />nuff said,1,
715,3027,9668,1488271837,"<p>
	Thank you my good friend 
</p>",1,172.103.195.66
716,3032,7600,1489551299,"<p>
	let me delete some pm's hold on
</p>",1,24.244.131.25
714,3026,14040,1487872808,"<p>
	both are a burden on society. Steralize them at least
</p>",1,82.32.170.252
171,222,281,1347501726,<p>That's pretty much it in a nutshell</p>,1,
174,89,67,1348186701,<p>And gentlemen pistol duels. Would be entertaining.</p>,1,
146,150,329,1345346460,<p>Thankyou. My exile was only supposed to last for like an hour— some kind of humor from Alex— ended up lasting about a week and a half…</p>,1,
713,3026,9720,1487866748,"<p>
	I have made my mind up long ago. Should I kill those who have forfeited their chance to be a decent person or kill those who have not yet had the chance to make their choice to be a decent person?
</p>",1,106.51.25.18
711,3024,13860,1487090180,"<p>
	how come?
</p>",-1,68.196.182.137
712,3024,9446,1487128146,"<p>
	Was just never really into it.  The past year or so I've been more interested in the sort of ""real religion"" or esotericism instead of just the sort of basic/entry level Hinduism that my family follows. I care less about the rituals and superstition and more about actually seeking out more religious wisdom/ideas/truths. 
</p>",1,100.33.36.131
154,153,130,1345427367,"<p>Politically correct? You must not know me very well. My issue with you isn't that I'm a Judeophile, because I'm not. My issue with you is that you spew the same pre-recorded mentally retarded FIGHT ZOG bull shit without providing even a remotely impartial source (nobody ever does). If you can't debate a thing without either invoking Jews or calling your opponent a Jew, you clearly have a problem. I'll wait and see what your views on other things are before I ""hate you,...</p>",1,
155,153,130,1345427433,<p>But the idea of an anti-colonial black Muslim is thick with irony.</p>,1,
156,159,342,1345514754,<p>Race War Now?</p>,1,
157,159,161,1345586007,"<p>Race war always. If possible, also gas the kikes.</p>",1,
158,170,342,1346074096,<p>No more gassing the kykes? ):</p>,1,
159,170,72,1346106139,<p>No more race war? :'(</p>,1,
160,170,130,1346112178,<p>How can we have a neo-nazi forum with no Whites?</p>,1,
161,170,335,1346231902,"<p>There's just too much bigoted racism up here, man. We need more pr0gressive fascism. </p>",1,
162,159,130,1346296996,"<p>gas the rich, class war now</p>",1,
163,142,130,1346297024,<p>Brilliant.</p>,1,
164,142,563,1346636532,"<p>^seconded, absolutely true.</p>",1,
165,218,164,1346960955,"<p>There needs to be a ""like"" button for these things.</p>",1,
166,222,342,1347068645,"<p>Never watched, give me the Nigga highlights.</p>",1,
167,222,130,1347249758,"
<p>-We're a rainbow nation.</p>
<p>
-16 trillion personal anecdotes.</p>
<p>
-I'm the man. I'm doing great things.</p>
<p>
-Thanks to all these millionaire celebrities for being here. That means we're truly the peoples' party.</p>
<p>
-More anecdotes.</p>
<p>
-Change.</p>
<p>
-Fake humility, fake humility, certainty of victory.</p>
<p>
-End speech. Stand around with nigresses to what seems like 15 minutes of nothing but applause and confetti.</p>
<p>
-Cue celebrity commentators discussing the ""a...</p>
",1,
168,222,130,1347249807,"<p>...discussing the ""awesomeness and historical-ness of his speech""</p>",1,
170,222,342,1347360393,<p>Wonderful of course.</p>,1,
175,264,342,1348616770,"<p>PURGE THE HERETIC, HE OFFENDS THE GOD KING.</p>",1,
176,264,335,1348724821,"
<p>My faith is my nation. If we're not willing to devote ourselves whole-heartedly to the nation, what represents our nation, and the people within - well then we shouldn't have the opportunity to call ourselves citizens of that nation. In any case - brilliant. </p>
<p>
Also hail Satan, 666.</p>
",1,
177,264,161,1348938736,"<p>""For I could wish that myself were accursed from Christ for my brethren, my kinsmen according to the flesh"" --Romans 9:3</p>",1,
178,268,72,1349127945,"<p>Same feelings here. Were there any liberals in your class who got butthurt ""dem conservatives are conservatives, not libruls!!11""?</p>",1,
179,252,281,1349131179,"<p>It's fine, I realized that a long time ago.  Just look forward to resurrecting greatness.</p>",1,
180,286,342,1349579152,"<p>Jew Blood,Sweat, and Tears.</p>",1,
181,286,67,1349581878,<p>On the altar of muh naaaaation!</p>,1,
182,287,130,1349657923,"From Stormfront, huh? That explains the 88",1,
183,292,16,1350304072,<p>Gasp.</p>,1,
185,277,130,1350516424,<p>GLORIOUS</p>,1,
186,268,130,1350516453,"<p>But conservativs is fascists, rite?</p>",1,
187,277,279,1350516668,<p>Lolol.</p>,1,
188,268,67,1350568470,<p>Makes sense. Conservatives (in the Canadian context) are libertarians who have remnants of love of social order.</p>,1,
189,277,342,1350699222,"
<p>&gt;Has Tramp Stamp</p>
<p>
&gt;Preaches a return to traditional morality</p>
<p>
Makes sense.</p>
",1,
191,299,342,1351130126,<p>Only Anarchists have no morals.</p>,1,
192,342,342,1351984493,<p>Back in ma day we had none of that there thongs er sex clothes.</p>,1,
193,344,342,1352505932,<p>SCUM</p>,1,
195,352,72,1352561947,"
<p>I'll speak in my language though. </p>
<p>
Kamusta mula sa Pilipinas. </p>
",1,
196,352,1772,1352696419,"<p>And, apa khabar kitak? That what we say ""how are you"" in Sarawakian Malay.</p>",1,
197,359,13,1352719153,<p>Not much</p>,1,
198,368,72,1352957672,<p>ok. </p>,1,
199,389,130,1353204999,<p>Wouldn't it have to be in Sarawakian or whatever</p>,1,
200,368,1772,1353237969,"
<p><a href=""http://www.facebook.com/NationalActivistsOfSarawak"" rel=""external nofollow"">http://www.facebook.com/NationalActivistsOfSarawak</a></p>
<p>
My new Facebook nationalist group page.</p>
",1,
201,389,1772,1353238249,"<p>For your information, I'm thinking to make a pro-nationalist/regionist of my state, Sarawak. And yeah, there are some activist group who fought for a change of a new, better government but sadly most of them are pro-democracy coward, and some ignorant Islamist group. (while at the same time Muslims at my state are minority.)</p>",1,
202,344,1772,1353241619,<p>They should be send to Kashmir.</p>,1,
203,397,1772,1353306195,"<a href=""http://www.facebook.com/NationalActivistsOfSarawak?ref=hl"" rel=""external nofollow"">http://www.facebook.com/NationalActivistsOfSarawak?ref=hl</a>",1,
204,434,158,1353788971,<p>Bok Van Blerk. Another good Afrikaans song is My Land by Karen Wessels. I don't like much Afrikaans music but those are great songs/singers. Robbie Wessels(not related to Karen) is an Afrikaans singer who is not good but it funny. You may want to check him out if you want a laugh.</p>,1,
207,521,7,1353937471,"<p>I don't really like to use it, though I briefly got to like it  took what I could from there. I do check it and post material there in the hope it gets out. </p>",1,
718,3034,6260,1490891381,"<p>
	Much appreciated man but it's custom badges I'm needing.
</p>",1,217.39.81.126
719,3034,9792,1490893177,"<p>
	NP, will find out where we got ours made and let you know.
</p>",1,146.90.250.253
208,491,2075,1354093602,"<p>The Italians were happen they weren't completely wiped out by the Ethiopians, the Ethiopians were happy that they didn't have to waste time on a horrible army any longer.</p>",1,
209,604,298,1354295080,"<p>Good luck, my friend. You can always claim asylum in Sweden. </p>",1,
221,618,2099,1355245832,<p>If they are not hating on Japanese and Koreans in their homeland and their culture. I see no irony here.</p>,1,
222,647,2099,1355440891,<p>The only answer is: re install Windows. </p>,1,
223,647,283,1355443881,<p>Windows is for victims...install Linux</p>,1,
224,646,16,1355570376,<p>Best tea is Ketepa.</p>,1,
226,639,2099,1355693882,<p>I agree.</p>,1,
227,661,342,1355885135,<p>Check your privilege Frenchmen.  </p>,1,
228,268,2099,1355951017,<p>Yes. That is a good observation. </p>,1,
213,604,1772,1354387111,<p>Please don't worry at that my friend. And I didn't want to leave my tropical paradise in Borneo only to gain an asylum in foreign countries.</p>,1,
214,344,2099,1354470731,<p>Perhaps the former.</p>,1,
215,627,4,1354491647,<p>Oh my.</p>,1,
216,342,2099,1354781785,<p>Sadly yes. We are going down in every possible way.</p>,1,
217,277,2075,1354871166,"<p>Kill her, she's a traitor to the ideology.</p>",1,
218,626,2075,1354871235,<p>Wheelchair coming in with a knife at 55 km/h</p>,1,
219,627,2075,1354871259,<p>Muh dik</p>,1,
220,277,342,1354979064,"<p>She's a ""Christmas Graduate"" no need.</p>",1,
229,661,130,1356223437,<p>Facial hair is for barbarians.</p>,1,
230,674,2099,1356306754,<p>Avanti might comment here.</p>,1,
231,688,2,1356492103,<p>Whatever you want. And who are you on deviantART?</p>,1,
233,688,1772,1356495160,"
<p>otakumilitia. The same name at my dA account.</p>
<p>
But I have an account for showing my political thought; otakurepublic, while at the same time my otakumilitia account is for posting my anime artwork/other stuff.</p>
<p>
<a href=""http://otakumilitia.deviantart.com/"" rel=""external nofollow"">http://otakumilitia.deviantart.com/</a></p>
<p>
<a href=""http://otakurepublic.deviantart.com/"" rel=""external nofollow"">http://otakurepublic.deviantart.com/</a></p>
",1,
234,690,2099,1356646804,It happens. ,1,
235,691,2099,1356648268,Just try to be a bit more tolerant.<br />,1,
243,716,49,1357359161,"Yep. You have autism, my friend. I would see a psychologist.",1,
239,674,2220,1357171946,<p>Sweet. </p>,1,
240,696,161,1357185954,<p>Proud strong Aryan beta males only</p>,1,
242,700,161,1357351587,<p>#ironmarch</p>,1,
244,714,158,1357369650,"<p>RevLeft, no way. SocialistPhalanx, if you wish. It could be interesting. I found IronMarch because of SocialistPhallanx but I stop posting on that commie-liberal forum ages ok. SocialistPhallanx is like a cross between IronMarch and RevLeft. Some members are closer to RevLefters though.</p>",1,
245,716,2288,1357372165,"I know him, assure you he does not have autism.",1,
246,716,279,1357379825,Don&#39;t take it seriously. &quot;Autism&quot; is the &#39;Fascist&#39; equivalent of &quot;You&#39;re a Nazi&#33;&quot; around here.,1,
247,717,279,1357421376,"<p>It is good to pay your honors to the past, but you shouldn't stare into the abyss for too long. Remember the past, live in the present and strive for a better future.</p>",1,
248,689,16,1357520357,<p>Tell me about it.</p>,1,
249,639,1558,1357558758,<p>Bloody fascist.</p>,1,
250,694,1558,1357558881,"<p>I agree, I would die for it.</p>",1,
251,712,2099,1357671245,<p>They say it's as good as the Lord of the Rings.</p>,1,
252,618,1986,1357837376,<p>Are you referring to Unsung War; the Ace Combat song?</p>,1,
253,751,1109,1357854120,<p>I will</p>,1,
287,2271,6113,1369171844,"
<p>And which do you Favor?</p>
<p>
Legitimist, Orléanists or Bonapartist?</p>
",1,
