wl_id,wl_member,wl_moderator,wl_date,wl_reason,wl_points,wl_note_member,wl_note_mods,wl_mq,wl_mq_unit,wl_rpa,wl_rpa_unit,wl_suspend,wl_suspend_unit,wl_ban_group,wl_expire,wl_expire_unit,wl_content_app,wl_content_id1,wl_expire_date
16,84,49,2012-07-07T00:03:34Z,0,1,,Inciting general autistic behavior,0,h,6,h,0,h,0,0,,,,
17,263,49,2012-07-09T03:10:12Z,0,1,"For violating the Iron March charter and performing general acts of faggotry, you're placed on temporary house arrest and banned from posting until the adminship decide on what to do with you. Enjoy your stay in our tolerant and diverse community. cheers","For violating the Iron March charter and performing general acts of faggotry, temporary house arrest and ban from posting until the adminship decide on what to do",0,h,-1,,0,h,0,0,,,,
18,271,14,2012-07-19T00:57:43Z,0,1,,"He fucking posted this:<br />[quote name=&#39;NatCap&#39; timestamp=&#39;1342659114&#39; post=&#39;29687&#39;]Silence, boy. I know your game. You feel entitled to the younger females due to your age. No way, Jose.<br /><br />[/quote]<br /><br />More details can be found in the relevant Corps Compound thread. I hope he is banned, but I absolutely have to do something about this.",0,h,0,h,0,h,0,0,,,,
19,271,49,2012-07-20T01:00:43Z,0,0,,for being a faggot. Read his comments to black corps members,0,h,-1,,0,h,0,0,,,,
20,271,14,2012-07-20T01:00:47Z,0,0,,"Told a Moderator to go fuck himself. Insolence, flaming.",0,h,-1,,0,h,0,0,,,,
21,335,49,2012-08-03T22:42:43Z,0,1,,misconduct in introductions thread,0,h,0,h,0,h,0,0,,,,
22,329,1,2012-08-08T06:49:54Z,0,0,,Not to be unbanned until I unban.,0,h,0,h,0,h,0,0,,,,
23,446,49,2012-09-01T23:30:09Z,0,1,,for being a faggot,0,h,0,h,0,h,0,0,,,,
24,563,49,2012-09-21T19:58:17Z,0,1,,&lt;p&gt;for being a faggot&lt;/p&gt;<br /><br />,0,h,10,d,0,h,0,0,,,,
25,329,49,2012-10-03T15:57:27Z,0,1,,"shitposting, fashion fascism and condescension ",0,h,1,d,0,h,0,0,,,,
26,329,132,2012-10-03T16:23:06Z,0,0,,"disagreeing =/= shitposting, you nigger",0,h,0,d,0,h,0,0,,,,
27,563,49,2012-10-12T19:00:53Z,0,0,,for continuing to be a faggot,0,h,0,h,0,h,0,0,,,,
28,335,7,2012-11-22T23:14:47Z,0,0,,my bad,0,h,0,h,0,h,0,0,,,,
29,2054,132,2012-11-27T20:35:30Z,0,0,,spam,0,h,0,h,0,h,0,0,,,,
30,2113,132,2012-12-01T22:27:32Z,0,0,,because,0,h,0,h,0,h,0,0,,,,
31,2113,132,2012-12-01T22:31:12Z,0,0,,because,0,h,0,h,0,h,0,0,,,,
32,188,1,2012-12-05T04:25:56Z,0,0,,Week in the concentration camp to cool off.,0,h,0,h,0,h,0,0,,,,
33,84,49,2012-12-29T18:31:57Z,0,0,"https://www.youtube.com/watch?v=7b7DgOeMnW4&amp;list=PLA40C71E6439049FE<br />
 <br />
5 days for now, you will be released when you stop jewing alex and make truth of your word, [s]kike[/s]",getting on my nerves again,0,h,0,h,5,d,0,0,,,,
34,188,49,2012-12-30T18:31:08Z,0,0,,it&#39;s been well more than a week. Unban him.,0,h,0,h,0,h,0,0,,,,
35,317,49,2012-12-31T07:22:03Z,0,1,"you have a week, jewboy","for refusing to comply with einsatzrassefuhrer&#39;s demands, not having a sense of humour, and sticking his kike shmeckel where it doesn&#39;t belong",0,h,7,d,0,h,0,0,,,,
36,317,49,2013-01-04T02:02:44Z,0,1,,until we finish the vote to ban him,0,h,10,d,0,h,0,0,,,,
37,317,49,2013-01-05T03:31:27Z,0,0,,banned,0,h,215,h,0,h,0,0,,,,
38,1793,35,2013-01-09T02:19:19Z,0,0,,2 for shit posting and retarded question threads. ,0,h,0,h,0,h,0,0,,,,
39,2288,49,2013-02-03T16:25:36Z,0,1,,"autism (pretense at logical argument while using strawmans himself) posting style reminds me of wib, though it is definitely not her",0,h,0,h,2,d,0,0,,,,
40,2275,7,2013-02-06T20:42:20Z,0,0,,For being iredeemably retarded,0,h,5,d,0,h,0,0,,,,
41,2871,49,2013-02-11T03:37:35Z,0,0,,"need i jest, sire?",0,h,0,h,0,h,0,0,,,,
42,3491,7,2013-02-26T17:37:41Z,0,0,,for being a faggot. ,0,h,1,d,0,h,0,0,,,,
43,3498,49,2013-03-03T23:19:23Z,0,1,,for &#39;god faggot&#39; comment. this kid is literally retarded and cannot even formulate a proper ad hom,0,h,0,h,0,h,0,0,,,,
44,3023,49,2013-03-23T19:34:10Z,0,0,you;re a faggot,aryan transautism,0,h,0,h,0,h,0,0,,,,
45,5113,49,2013-04-02T01:44:10Z,0,1,,i think this guy is genuinely stupid,0,h,0,h,1,d,0,0,,,,
46,2351,49,2013-04-08T21:43:11Z,0,1,,introduction thread autism,0,h,0,h,2,d,0,0,,,,
47,5590,16,2013-04-16T04:20:14Z,0,1,,Being an ass.,0,h,1,d,0,h,0,0,,,,
48,5590,49,2013-04-20T00:30:33Z,0,1,,vladiqueer,0,h,0,h,3,d,0,0,,,,
49,5779,49,2013-04-22T22:36:01Z,0,1,,shitskin with an attitude,0,h,0,h,2,d,0,0,,,,
50,5805,132,2013-04-24T21:25:14Z,0,0,,penis,0,h,0,h,12,h,0,0,,,,
51,5805,132,2013-04-24T21:26:08Z,0,1,,For being a rebellious kid.,0,h,0,h,12,h,0,0,,,,
52,6114,1,2013-05-28T12:35:37Z,0,0,,"Don&#39;t get uppity, hipsterfag.",0,h,0,h,0,h,0,0,,,,
53,6126,132,2013-06-08T21:14:20Z,0,0,,JIDF,0,h,0,h,0,h,0,0,,,,
54,6115,49,2013-06-25T00:03:44Z,0,1,,http://ironmarch.org/index.php?/topic/1748-your-plans-for-the-future/page__st__40__p__61013#entry61013,0,h,2,d,0,h,0,0,,,,
55,6150,16,2013-06-30T03:00:47Z,0,0,,Being a bitch.,0,h,0,h,0,h,0,0,,,,
56,6150,16,2013-06-30T16:58:21Z,0,0,,A shit.,0,h,0,h,0,h,0,0,,,,
57,6111,132,2013-07-03T01:29:51Z,0,0,,Reason,0,h,0,h,0,h,0,0,,,,
58,53,16,2013-08-02T20:02:03Z,5,1,Please stop double posting. Just edit your new content into the post you've already made.,,0,d,0,d,0,d,0,0,h,members,,FALSE
59,5805,49,2013-08-09T01:53:07Z,1,1,happy to,for being a retarded faggot,0,d,0,d,0,d,0,0,h,members,,FALSE
60,6199,49,2013-08-09T03:26:12Z,1,1,shut your fucking face up you fucking cunt,fucking faggot dude,0,d,0,d,0,d,0,0,h,members,,FALSE
61,6173,4,2013-08-13T11:37:46Z,0,1,Double post again faggot I dare you,Egregious double posting.,0,d,0,d,0,d,0,7,d,forums,64796,FALSE
62,6173,132,2013-08-19T05:09:00Z,0,1,double posting nigger seriously,,0,d,16,h,0,d,0,0,d,members,,FALSE
63,6173,132,2013-08-24T03:41:55Z,0,2,"For continuously bumping ancient threads, making shit threads, being unable to contibute or speak English.",,0,d,0,d,0,d,0,0,d,members,,FALSE
64,861,49,2013-08-26T01:00:30Z,2,1,you posted interracial,clearly retarded or trying to prove an even more retarded point,0,d,0,d,2,d,0,0,h,members,,FALSE
65,6218,49,2013-08-28T16:05:31Z,2,1,you are seriously a faggot,he is seriously a faggot,0,d,0,d,5,d,0,0,h,members,,FALSE
67,505,49,2013-08-30T18:59:04Z,0,0,beta autism of the year. congradulations,need anything be said? fedora off gentlement,0,d,0,d,0,d,7,0,d,members,,FALSE
68,6218,132,2013-09-04T08:20:31Z,0,1,You're a literal shitposter.,,0,d,1,d,0,d,0,0,d,members,,FALSE
69,6218,132,2013-09-09T17:08:50Z,0,0,Being too autistic to live.,Being too autistic to live. Also literal shitposting.,0,d,0,d,-1,d,5,0,d,members,,FALSE
70,6239,132,2013-09-10T20:21:37Z,0,0,0/5,,0,d,0,d,-1,d,5,0,d,members,,FALSE
71,6240,132,2013-09-10T23:02:46Z,0,0,,,-1,d,0,d,0,d,0,0,d,members,,FALSE
72,6240,132,2013-09-12T10:39:10Z,0,0,No multiple accounts,,0,d,0,d,-1,d,0,0,d,members,,FALSE
73,6246,132,2013-09-12T11:29:50Z,0,0,,,0,d,0,d,-1,d,0,0,d,members,,FALSE
74,6251,132,2013-09-16T13:42:05Z,1,1,,,0,d,0,d,-1,d,0,0,h,members,,FALSE
75,6258,3,2013-10-02T16:54:29Z,0,1,"You're a shitposting fed. If you wanna cry about us, make a topic in the opposition section, which you shall get accustomed to.",Whiny shitposter. Imprisoned.,0,d,0,d,0,d,0,0,d,forums,69194,FALSE
76,6258,3,2013-10-02T16:55:41Z,0,0,,,0,d,0,d,0,d,7,0,d,forums,69194,FALSE
77,6272,16,2013-10-04T08:30:37Z,0,0,,Autism but might be fun to read.,0,d,0,d,0,d,7,0,d,members,,FALSE
78,6115,132,2013-10-09T07:38:02Z,0,1,For being euphoric shitposter and uncontributive autist.,For being euphoric shitposter and uncontributive autist.,0,d,2,d,0,d,0,0,d,members,,FALSE
79,6279,132,2013-10-10T11:06:53Z,0,6000000,,,0,d,0,d,-1,d,0,0,d,members,,FALSE
80,6279,132,2013-10-10T11:07:25Z,0,0,,,0,d,0,d,-1,d,5,0,d,members,,FALSE
81,49,1,2013-10-17T05:39:41Z,0,0,,,0,d,12,d,0,d,0,0,d,forums,70331,FALSE
82,6217,132,2013-10-17T08:37:13Z,0,1,,,0,d,0,d,3,d,0,0,d,members,,FALSE
83,6290,3,2013-10-29T02:23:20Z,0,1,,Totally unsupported claims,0,d,0,d,0,d,0,0,d,forums,71075,FALSE
84,6302,132,2013-10-30T21:43:03Z,0,6000000,For being too retarded to argue.,,0,d,0,d,-1,d,5,0,d,members,,FALSE
85,6304,132,2013-10-30T22:18:29Z,0,1,,,0,d,0,d,-1,d,0,0,d,members,,FALSE
86,6307,132,2013-10-31T19:51:25Z,0,1,,,0,d,0,d,-1,d,0,0,d,members,,FALSE
87,6310,132,2013-11-05T18:59:31Z,0,600000,,,0,d,-1,d,0,d,0,0,h,members,,FALSE
88,6117,132,2013-11-21T20:31:07Z,0,1,"Licence plates, not degeneration. That goes in the Stupid News. Once again.",,0,d,0,d,0,d,0,0,d,members,,FALSE
123,6278,3,2013-12-06T23:02:04Z,0,1,Anti-Germanic butthurtness; useless post,,0,d,0,d,0,d,0,0,d,forums,73823,FALSE
124,6554,132,2013-12-14T20:23:40Z,0,0,,,0,d,0,d,0,d,7,0,d,members,,FALSE
125,6773,3,2013-12-20T04:35:21Z,1,1,,Troll,0,d,0,d,0,d,0,0,h,forums,74825,FALSE
126,6773,3,2013-12-20T04:35:56Z,1,1,,,0,d,0,d,0,d,7,0,h,forums,74825,FALSE
127,6554,3,2013-12-20T23:06:39Z,0,0,,"The guy has a dipshit opinion about Golden Dawn, but that doesn't warrant a restriction. Back into members he goes.",0,d,0,d,0,d,0,0,d,forums,74694,FALSE
128,6554,3,2013-12-20T23:07:30Z,0,0,,Lel forgot to check box I always do that,0,d,0,d,0,d,0,0,d,forums,74694,FALSE
130,6278,1,2014-01-28T10:57:19Z,0,1,Anti-Russian butthurtness; useless post,We're collecting a set.<br />Anti-Germanic butthurtness; useless post<br />Anti-Russian butthurtness; useless post,0,d,0,d,0,d,0,0,d,forums,77385,FALSE
132,7428,132,2014-01-31T16:17:24Z,0,6000000,,,0,d,0,d,-1,d,0,0,d,members,,FALSE
133,7428,132,2014-01-31T16:17:46Z,0,1,,,0,d,0,d,0,d,5,0,d,members,,FALSE
134,319,16,2014-02-12T18:01:06Z,1,1,Bullshit topics.,"Bullshit topics.<br />If we're going to do bullshit posts, fine but topics really should require some form of effort. They clog up the ""newest thread"" section and just generally.<br /><br />NO FUN ALLOWED.",0,d,0,d,0,d,0,0,h,members,,FALSE
135,7350,16,2014-02-12T18:01:08Z,1,1,Bullshit topics.,"Bullshit topics.<br />If we're going to do bullshit posts, fine but topics really should require some form of effort. They clog up the ""newest thread"" section and just generally.<br /><br />NO FUN ALLOWED.",0,d,0,d,0,d,0,0,h,members,,FALSE
136,7350,16,2014-02-16T06:43:53Z,1,1,"Please at least make the topic tangentially related to the forum themes, this isn't /b/, or tumblr.",No comment.,0,d,1,d,0,d,0,0,h,members,,FALSE
137,7364,132,2014-02-22T00:39:18Z,0,1,Take your fedora off and take it easy.,,0,d,0,d,2,d,0,0,d,members,,FALSE
138,7461,132,2014-03-02T00:01:12Z,0,1,,,0,d,0,d,0,d,7,0,d,forums,79973,FALSE
139,7364,132,2014-03-14T15:13:27Z,0,1,,,0,d,0,d,0,d,7,0,d,members,,FALSE
140,7705,132,2014-05-07T18:24:18Z,0,1,,,0,d,0,d,0,d,7,0,d,members,,FALSE
141,7705,132,2014-05-08T04:52:42Z,0,1,,,0,d,0,d,-1,d,5,0,d,members,,FALSE
142,7745,132,2014-05-23T16:08:22Z,0,1,,,0,d,0,d,-1,d,0,0,d,members,,FALSE
143,49,1,2014-06-06T05:48:19Z,0,1,No more forum drama.,Symbolic warning for a fresh start.,0,d,0,d,0,d,0,0,d,forums,86963,FALSE
144,7720,132,2014-07-13T00:03:47Z,0,6000000,,,0,d,0,d,-1,d,5,0,d,forums,88855,FALSE
145,49,132,2014-07-31T20:20:23Z,0,60000000,Solely for being 1/5 trele,,0,d,0,d,14,d,0,0,d,members,,FALSE
146,8029,132,2014-10-07T08:02:26Z,0,609,,,0,d,0,d,-1,d,5,0,d,members,,FALSE
147,8052,132,2014-10-22T09:31:21Z,0,609,You're not even trying anymore,,0,d,0,d,-1,d,0,0,d,forums,94489,FALSE
148,8151,132,2014-12-12T13:00:41Z,0,1,,,0,d,0,d,-1,d,5,0,d,members,,FALSE
149,8314,132,2014-12-16T17:29:16Z,0,1,,,0,d,0,d,-1,d,5,0,d,forums,99059,FALSE
150,8698,3721,2014-12-31T00:14:32Z,4,1,"[quote name=""suspiciouscelerystalk"" post=""100649"" timestamp=""1419984048""]<br /><br />Next person to continue the Christianity debate in this thread goes to the camps for a few days[/quote]",,0,d,0,d,1,d,7,0,h,members,,FALSE
151,8264,3721,2014-12-31T07:47:36Z,0,0,"You'd do well to consider how this all went and adjust how you approach communicating your views to others accordingly.<br /> [quote]<br />[b]III.[/b]<br /><br />[b]1. [/b]No â€˜Spergingâ€™. As in â€˜Aspergerâ€™s syndromeâ€™, an Autistic mental disorder characterized by extreme egocentricity and an inability to understand how to interact socially. This policy is to curtail and recognise the tendencies of users whose actions and motivations are outside our common goals, are deliberately of no benefit to anyone, and only serve to cause trouble. Regardless of whether it is motivated by narcissism, social alienation, cowardice, or stupidity we must control it, and it is the userâ€™s responsibility to observe these following principles which will serve as a guide to ensure there will be no problems for you while you are here.[/quote]",Uses tor; will probably be back.,0,d,-1,d,-1,d,5,0,d,members,,FALSE
152,7851,3721,2015-01-01T10:53:37Z,0,0,,0/10 execution,0,d,-1,d,-1,d,5,0,d,members,,FALSE
153,8698,3721,2015-01-01T11:28:28Z,0,0,,,0,d,0,d,0,d,0,0,d,members,,FALSE
154,8943,3721,2015-01-12T05:23:27Z,0,1,Stop making shit threads,,0,d,0,d,0,d,0,30,d,members,,FALSE
155,9109,132,2015-01-27T23:42:38Z,0,6000000,,just for being a general homo lol,0,d,0,d,-1,d,5,0,d,forums,103472,FALSE
156,8165,3721,2015-02-15T20:54:24Z,0,1,,,0,d,0,d,0,d,0,7,d,members,,FALSE
157,8165,3721,2015-02-15T21:21:05Z,0,1,,,0,d,0,d,0,d,0,7,d,members,,FALSE
159,9240,1,2015-03-10T21:25:49Z,0,1,NO MULTIPOSTING<br />NO QUOTING IMAGES FROM THE SAME PAGE<br />NO TISM,,0,d,0,d,0,d,0,3,d,forums,107708,FALSE
160,7986,1,2015-03-11T05:37:45Z,0,0,FUCKING PAY ATTENTION TO THE RULES OF POSTING IN A THREAD,,0,d,0,d,0,d,0,2,d,forums,107723,FALSE
161,2170,1,2015-03-11T05:38:05Z,0,0,FUCKING PAY ATTENTION TO THE RULES OF POSTING IN A THREAD,,0,d,0,d,0,d,0,2,d,forums,107728,FALSE
162,7600,1,2015-03-11T05:38:23Z,0,0,FUCKING PAY ATTENTION TO THE RULES OF POSTING IN A THREAD,,0,d,0,d,0,d,0,2,d,forums,107729,FALSE
163,6274,1,2015-03-11T05:38:41Z,0,1,FUCKING PAY ATTENTION TO THE RULES OF POSTING IN A THREAD,,0,d,0,d,0,d,0,2,d,forums,107731,FALSE
164,9273,132,2015-03-11T21:32:31Z,0,1488,,,0,d,0,d,-1,d,5,0,d,forums,107809,FALSE
165,9174,132,2015-04-17T17:58:42Z,0,609,,,0,d,0,d,8,d,0,0,d,forums,111377,FALSE
166,7481,1,2015-05-22T16:53:24Z,0,1,I felt like it,,0,d,-1,d,0,d,0,0,d,forums,113392,FALSE
167,9508,2170,2015-06-05T21:05:45Z,0,0,"Re-read the introduction guidelines, and do it over.",,0,d,0,d,0,d,3,0,d,members,,FALSE
168,9512,9144,2015-06-06T05:59:51Z,0,1,"I'm your master in here, pleb.",,0,d,0,d,0,d,3,1,h,members,,FALSE
169,9335,1,2015-06-29T08:28:03Z,0,1,"Stop quoting whole images from the same page, you've done it numerous times to date and not once took the hint from all the times your posts were edited.",,0,d,0,d,0,d,0,7,d,forums,118862,FALSE
170,9335,9144,2015-06-29T17:06:07Z,0,1,"ffs. It's pretty simple, if there is an image in a post right above yours don't copy the fucking thing in your quote. Do it again and you'll find yourself on a vacation.",,0,d,0,d,0,d,0,0,d,forums,118908,FALSE
171,7346,1,2015-07-11T20:41:09Z,0,1,Forum Drama Tism,,0,d,0,d,3,d,0,3,d,forums,119822,FALSE
172,7481,1,2015-07-11T20:41:40Z,0,1,Forum Drama Tism,,0,d,0,d,3,d,0,3,d,forums,119821,FALSE
173,9558,9144,2015-07-20T16:27:52Z,0,1,Oy vey.,,0,d,0,d,0,d,7,0,d,forums,120379,FALSE
174,9558,9144,2015-07-21T16:37:44Z,0,5999999,,,0,d,-1,d,-1,d,5,0,d,forums,120565,FALSE
175,9567,9144,2015-07-31T22:02:58Z,0,1,Being a fag,,0,d,0,d,0,d,7,0,d,forums,121152,FALSE
176,7600,1,2015-08-02T09:29:51Z,0,1,Utterly retarded.,,0,d,7,d,0,d,0,7,d,forums,121458,FALSE
177,9548,9144,2015-08-28T19:10:56Z,0,1,Being an intense tist.,,0,d,0,d,0,d,7,0,d,forums,123027,FALSE
178,9174,9144,2015-08-30T14:23:46Z,0,1,"Go and write ""I will stop dirtying our beautiful forum with multiposts"" fifty times.",,0,d,0,d,0,d,0,0,d,forums,123266,FALSE
179,9601,2170,2015-09-07T00:46:16Z,1,1,You were told not to make new topics. So don't until further notice.,,0,d,0,d,0,d,0,0,h,members,,FALSE
180,7481,2170,2015-09-20T20:28:37Z,0,3,"One count of treason, one count of subversive activism, one count of undermining the authority of the black corps.",,0,d,0,d,0,d,7,7,d,forums,125194,FALSE
181,7508,2170,2015-09-20T20:55:19Z,0,3,Charges:<br />1. High treason<br />2. Subversive agitation<br />3. Undermining the moral authority of the adminship and black corps,,0,d,0,d,0,d,0,5,d,forums,125211,FALSE
182,8343,2170,2015-09-28T03:20:07Z,0,1,I told you bro. I warned you about usernames dawg.,,0,d,0,d,3,d,0,0,d,members,,FALSE
183,9697,9144,2015-10-25T00:26:58Z,0,1,Don't drop the soap.,,0,d,0,d,0,d,7,0,d,forums,130450,FALSE
184,9571,9144,2015-10-26T22:26:07Z,1,1,Warning for you so I can keep track.<br /><br />Stop et.,,0,d,0,d,0,d,0,0,h,forums,131130,FALSE
185,9698,9144,2015-10-28T06:22:47Z,0,1,,,0,d,0,d,0,d,7,0,d,forums,131383,FALSE
186,9636,9144,2015-11-10T05:01:14Z,0,1,&gt;making me do work,,0,d,0,d,0,d,7,0,d,forums,133122,FALSE
187,7543,1,2015-11-30T22:08:33Z,0,1,"Never post that kind of shit directly, provide link off-site.",,0,d,0,d,0,d,0,3,d,forums,135820,FALSE
188,9759,7962,2015-11-30T23:36:34Z,0,0,,,-1,d,-1,d,-1,d,5,0,d,members,,FALSE
189,9748,7962,2015-11-30T23:38:13Z,0,0,,,-1,d,-1,d,-1,d,5,0,d,members,,FALSE
190,9742,7962,2015-11-30T23:39:25Z,0,0,,,-1,d,-1,d,-1,d,5,0,d,members,,FALSE
191,9751,7962,2015-11-30T23:40:36Z,0,0,,,-1,d,-1,d,-1,d,5,0,d,members,,FALSE
192,9727,7962,2015-11-30T23:41:55Z,0,0,,,-1,d,-1,d,-1,d,5,0,d,members,,FALSE
193,6269,958,2015-12-01T07:20:00Z,4,1,Bringing up Schlesvig war. Is shit user because of that.,,0,d,0,d,0,d,0,0,h,forums,135890,FALSE
194,7543,958,2015-12-01T07:20:43Z,4,1,Bullying Denmark is a crime against humanity.,,0,d,0,d,0,d,0,0,h,forums,135889,FALSE
195,958,1,2015-12-01T07:27:34Z,4,1,Abusing your dank mod powers,,0,d,0,d,0,d,0,6,h,forums,135892,FALSE
196,9787,9144,2015-12-21T18:42:40Z,0,1,Being a moderate cuckservative pleb,,0,d,0,d,0,d,7,0,d,forums,138181,FALSE
197,9787,7962,2015-12-21T18:43:44Z,0,0,,Banned for being a racial alien and criminal subversive.,-1,d,-1,d,-1,d,5,0,d,members,,FALSE
198,9787,9144,2015-12-21T19:10:05Z,0,0,,,0,d,0,d,0,d,7,0,d,members,,FALSE
199,9503,9144,2016-01-08T01:17:53Z,0,0,Because nobody expects the multipost inquisition.,,0,d,0,d,0,d,0,0,d,forums,140427,FALSE
200,9884,9144,2016-02-14T21:27:17Z,0,0,Being a faggot.,,0,d,0,d,0,d,7,0,d,forums,144534,FALSE
201,9897,9144,2016-03-12T06:05:43Z,0,0,,,0,d,0,d,0,d,5,0,d,forums,144948,FALSE
